id;author;booktitle;cdrom;cite;cite-label;crossref;editor;ee;i;journal;key;mdate;month;note;number;pages;publisher;publtype;rating;reviewid;sub;sup;title;title-bibtex;tt;url;volume;year
2856114;Ashraf A. Afify;;;;;;;http://dx.doi.org/10.1504/IJCAET.2011.040053;;IJCAET;journals/ijcaet/Afify11;2012-05-31;;;3/4;360-371;;;;;;;Discovery of association rules from manufacturing data.;;;db/journals/ijcaet/ijcaet3.html#Afify11;3;2011
2856115;B. K. Misra|J. S. Kushawaha;;;;;;;http://dx.doi.org/10.1504/IJCAET.2014.057999;;IJCAET;journals/ijcaet/MisraK14;2014-03-21;;;1;74-87;;;;;;;Meshfree solution of tapered elastic bar using element free Galerkin method.;;;db/journals/ijcaet/ijcaet6.html#MisraK14;6;2014
2856116;Jeedella S. Jeedella|Mahmoud Al-Qutayri;;;;;;;http://dx.doi.org/10.1504/IJCAET.2010.030541;;IJCAET;journals/ijcaet/Al-QutayriJ10;2012-05-31;;;2/3;125-144;;;;;;;Smart homes: technologies, applications and challenges.;;;db/journals/ijcaet/ijcaet2.html#Al-QutayriJ10;2;2010
2856117;Atsuo Takanishi|Luca Bartolomeo|Massimiliano Zecca|Salvatore Sessa;;;;;;;http://dx.doi.org/10.1504/IJCAET.2012.049573;;IJCAET;journals/ijcaet/BartolomeoZST12;2012-11-27;;;6;517-534;;;;;;;Wavelet thresholding technique for sEMG denoising by baseline estimation.;;;db/journals/ijcaet/ijcaet4.html#BartolomeoZST12;4;2012
2856118;A. Alavudeen|A. Athijayamani|J. T. Winowlin Jappes|M. Thiruchitrambalam;;;;;;;http://dx.doi.org/10.1504/IJCAET.2011.042353;;IJCAET;journals/ijcaet/AlavudeenTJA11;2012-05-31;;;5/6;434-442;;;;;;;Investigation on the effect of alkaline treatment on mechanical properties of banana fibre polymer composite.;;;db/journals/ijcaet/ijcaet3.html#AlavudeenTJA11;3;2011
2856119;Chris McMahon|Fred J. A. M. Van Houten|Wouter O. Schotborgh;;;;;;;http://dx.doi.org/10.1504/IJCAET.2012.047812;;IJCAET;journals/ijcaet/SchotborghMH12;2012-11-27;;;4;373-391;;;;;;;A knowledge acquisition method to model parametric engineering design processes.;;;db/journals/ijcaet/ijcaet4.html#SchotborghMH12;4;2012
2856120;M. R. Nagalakshmi|Manoj Kumar Tiwari|Mukul Tripathi|Nagesh Shukla;;;;;;;http://dx.doi.org/10.1504/IJCAET.2009.026976;;IJCAET;journals/ijcaet/NagalakshmiTST09;2012-05-29;;;3;300-321;;;;;;;Vehicle routing problem with stochastic demand (VRPSD): optimisation by neighbourhood search embedded adaptive ant algorithm (ns-AAA).;;;db/journals/ijcaet/ijcaet1.html#NagalakshmiTST09;1;2009
2856121;Partha Pratim Dey|Subhajit Sarkar;;;;;;;http://dx.doi.org/10.1504/IJCAET.2012.048843;;IJCAET;journals/ijcaet/SarkarD12;2012-11-27;;;5;474-487;;;;;;;Construction of 2-D parametric surfaces bounded with four irregular curves.;;;db/journals/ijcaet/ijcaet4.html#SarkarD12;4;2012
2856122;Bin Zhao;;;;;;;http://dx.doi.org/10.1504/IJCAET.2012.045653;;IJCAET;journals/ijcaet/Zhao12;2012-05-31;;;2;126-142;;;;;;;The effect factors for the sealing performance of the labyrinth seal in the air blower based on FEM.;;;db/journals/ijcaet/ijcaet4.html#Zhao12;4;2012
2856123;Amardeep S. Kang|Deepak Jain;;;;;;;http://dx.doi.org/10.1504/IJCAET.2013.056699;;IJCAET;journals/ijcaet/JainK13;2013-11-13;;;4;291-299;;;;;;;Tensile load simulation and validation for glass fibre polymer composites.;;;db/journals/ijcaet/ijcaet5.html#JainK13;5;2013
2856124;Evangelos Dermatas|Ioannis G. Mariolis;;;;;;;http://dx.doi.org/10.1504/IJCAET.2009.022788;;IJCAET;journals/ijcaet/MariolisD09;2012-05-29;;;2;225-238;;;;;;;Automatic quality control of seam puckers based on shadow detection.;;;db/journals/ijcaet/ijcaet1.html#MariolisD09;1;2009
2856125;Giovanna Tennirelli|Lapo Governi|Rocco Furferi|Yary Volpe;;;;;;;http://dx.doi.org/10.1504/IJCAET.2014.058012;;IJCAET;journals/ijcaet/VolpeFGT14;2014-03-21;;;1;88-112;;;;;;;Computer-based methodologies for semi-automatic 3D model generation from paintings.;;;db/journals/ijcaet/ijcaet6.html#VolpeFGT14;6;2014
2856126;David Kazmer|Yingrui Shang;;;;;;;http://dx.doi.org/10.1504/IJCAET.2012.045656;;IJCAET;journals/ijcaet/ShangK12;2012-05-31;;;2;181-192;;;;;;;A MATLAB programme for quantitative simulation of self-assembly of polymer blend films with nanoscaled features.;;;db/journals/ijcaet/ijcaet4.html#ShangK12;4;2012
2856127;Mokhtar Che Ismail|Mysara Eissa Mohyaldin|Noaman Elkhatib;;;;;;;http://dx.doi.org/10.1504/IJCAET.2013.050630;;IJCAET;journals/ijcaet/MohyaldinEI13;2013-01-18;;;1;99-112;;;;;2;;Extension of NORSOK CO;;;db/journals/ijcaet/ijcaet5.html#MohyaldinEI13;5;2013
2856128;Nadjet Kamel|Nassima Aleb|Zahia Tamen;;;;;;;http://dx.doi.org/10.1504/IJCAET.2013.050552;;IJCAET;journals/ijcaet/AlebTK13;2013-01-18;;;1;20-43;;;;;;;Toward a backward model checking.;;;db/journals/ijcaet/ijcaet5.html#AlebTK13;5;2013
2856129;Abhijeet Kulkarni|Bahareh Kaveh-Baghbaderani|Vahid Nassehi;;;;;;;http://dx.doi.org/10.1504/IJCAET.2010.035394;;IJCAET;journals/ijcaet/KulkarniKN10;2012-05-31;;;4;400-413;;;;;;;Finite element modelling of underground water flow in low permeability lands.;;;db/journals/ijcaet/ijcaet2.html#KulkarniKN10;2;2010
2856130;A. Tsoularis;;;;;;;http://dx.doi.org/10.1504/IJCAET.2009.028554;;IJCAET;journals/ijcaet/Tsoularis09;2012-05-29;;;4;494-501;;;;;;;The utility of reinforcement learning in predation of Batesian mimics.;;;db/journals/ijcaet/ijcaet1.html#Tsoularis09;1;2009
2856131;Angshuman Chakraborty|Sambhu Nath Pradhan;;;;;;;http://dx.doi.org/10.1504/IJCAET.2013.056816;;IJCAET;journals/ijcaet/ChakrabortyP13;2013-11-13;;;4;375-386;;;;;;;Gate level leakage minimisation at 90 nm technology.;;;db/journals/ijcaet/ijcaet5.html#ChakrabortyP13;5;2013
2856132;Ahmed M. Anter|Mohamed Abu ElSoud;;;;;;;http://dx.doi.org/10.1504/IJCAET.2012.045655;;IJCAET;journals/ijcaet/ElSoudA12;2012-05-31;;;2;165-180;;;;;;;Automatic mammogram segmentation and computer aided diagnoses for breast tissue density according to BIRADS dictionary.;;;db/journals/ijcaet/ijcaet4.html#ElSoudA12;4;2012
2856133;Amy de Jongh Curry|David J. Russomanno|Deepika Konakanchi|Joseph Qualls;;;;;;;http://dx.doi.org/10.1504/IJCAET.2010.029597;;IJCAET;journals/ijcaet/QuallsRCK10;2012-05-31;;;1;66-77;;;;;;;Visualisation of defibrillation simulation using multiple transthoracic electrodes.;;;db/journals/ijcaet/ijcaet2.html#QuallsRCK10;2;2010
2856134;Christopher M. Schlick|Sven Tackenberg|Sönke Duckwitz;;;;;;;http://dx.doi.org/10.1504/IJCAET.2010.035395;;IJCAET;journals/ijcaet/TackenbergDS10;2012-05-31;;;4;414-435;;;;;;;Activity- and actor-oriented simulation approach for the management of development projects.;;;db/journals/ijcaet/ijcaet2.html#TackenbergDS10;2;2010
2856135;Bharat Bhushan Sagar|Gurmit Singh|R. K. Saket;;;;;;;http://dx.doi.org/10.1504/IJCAET.2012.046637;;IJCAET;journals/ijcaet/SaketSS12;2012-05-31;;;3;272-293;;;;;;;ATM reliability and risk assessment issues based on fraud, security and safety.;;;db/journals/ijcaet/ijcaet4.html#SaketSS12;4;2012
2856136;Sagar V. Ganorkar|Santosh B. Jaju;;;;;;;http://dx.doi.org/10.1504/IJCAET.2014.058000;;IJCAET;journals/ijcaet/GanorkarJ14;2014-03-21;;;1;1-13;;;;;;;Development of gripping mechanism for a prosthetic hand.;;;db/journals/ijcaet/ijcaet6.html#GanorkarJ14;6;2014
2856137;Hassan R. Barada|Mahmoud Al-Qutayri|Saeed O. Al Mehairi;;;;;;;http://dx.doi.org/10.1504/IJCAET.2010.030544;;IJCAET;journals/ijcaet/Al-QutayriBM10;2012-05-31;;;2/3;181-198;;;;;;;Integrated secure wireless system for smart home monitoring and control.;;;db/journals/ijcaet/ijcaet2.html#Al-QutayriBM10;2;2010
2856138;Georges Habchi|Jihene Tounsi|Julien Boissière;;;;;;;http://dx.doi.org/10.1504/IJCAET.2010.035392;;IJCAET;journals/ijcaet/TounsiHB10;2012-05-31;;;4;371-387;;;;;;;A conceptual model for SMEs mechatronics supply chain.;;;db/journals/ijcaet/ijcaet2.html#TounsiHB10;2;2010
2856139;Haris Naduthodi|Prakasan Kalakkath;;;;;;;http://dx.doi.org/10.1504/IJCAET.2011.038823;;IJCAET;journals/ijcaet/NaduthodiK11;2012-05-31;;;2;138-154;;;;;;;A multiple view product model for reflector and lens in automotive headlamps with reconfigurable tooling for manufacture.;;;db/journals/ijcaet/ijcaet3.html#NaduthodiK11;3;2011
2856140;Hemantha Kumar|M. Amarnath|T. A. Ranjit Kumar|V. Sugumaran;;;;;;;http://dx.doi.org/10.1504/IJCAET.2014.058002;;IJCAET;journals/ijcaet/KumarKAS14;2014-03-21;;;1;14-28;;;;;;;Fault diagnosis of bearings through vibration signal using Bayes classifiers.;;;db/journals/ijcaet/ijcaet6.html#KumarKAS14;6;2014
2856141;A. K. Bhardwaj|A. K. Srivastava|R. C. Bansal|Yi Sun;;;;;;;http://dx.doi.org/10.1504/IJCAET.2011.037865;;IJCAET;journals/ijcaet/SunBBS11;2012-05-31;;;1;1-18;;;;;;;Electricity market price forecasting using support vector machines.;;;db/journals/ijcaet/ijcaet3.html#SunBBS11;3;2011
2856142;Houqiang Li|Wengang Zhou|Xiaobo Zhou;;;;;;;http://dx.doi.org/10.1504/IJCAET.2009.028556;;IJCAET;journals/ijcaet/ZhouLZ09;2012-05-29;;;4;516-531;;;;;;;3D neuron dendritic spine detection and dendrite reconstruction.;;;db/journals/ijcaet/ijcaet1.html#ZhouLZ09;1;2009
2856143;Jan Mangs|Junwei Cao|Michael VanHilst|Shihong Huang;;;;;;;http://dx.doi.org/10.1504/IJCAET.2010.030545;;IJCAET;journals/ijcaet/HuangVCM10;2012-05-31;;;2/3;199-217;;;;;;;Remote computing resource management from mobile devices by utilising WSRF.;;;db/journals/ijcaet/ijcaet2.html#HuangVCM10;2;2010
2856144;Stephen Shih|Wai Yuen Chan|Ziping Liu;;;;;;;http://dx.doi.org/10.1504/IJCAET.2010.029595;;IJCAET;journals/ijcaet/LiuCS10;2012-05-31;;;1;41-51;;;;;;;An approximate mathematical model for analysis of underwater acoustic sensor networks.;;;db/journals/ijcaet/ijcaet2.html#LiuCS10;2;2010
2856145;Medhat H. Awadalla;;;;;;;http://dx.doi.org/10.1504/IJCAET.2009.022782;;IJCAET;journals/ijcaet/Awadalla09;2012-07-01;;;2;127-144;;;;;;;Hierarchical and modular fuzzy architecture for multiple mobile robots.;;;db/journals/ijcaet/ijcaet1.html#Awadalla09;1;2009
2856146;Berend Denkena|Dennis Heinisch|H.-C. Möhring|K. M. Litwinski;;;;;;;http://dx.doi.org/10.1504/IJCAET.2011.040046;;IJCAET;journals/ijcaet/DenkenaMLH11;2012-05-31;;;3/4;256-269;;;;;;;Automated design of fixtures based on FEM simulations.;;;db/journals/ijcaet/ijcaet3.html#DenkenaMLH11;3;2011
2856147;Quan Yuan|Said F. Al-Sarawi|Ying Sun;;;;;;;http://dx.doi.org/10.1504/IJCAET.2010.030547;;IJCAET;journals/ijcaet/SunYA10;2012-05-31;;;2/3;234-249;;;;;;;A bushfire monitoring and detection system for smart homes using ZigBee technology.;;;db/journals/ijcaet/ijcaet2.html#SunYA10;2;2010
2856148;B. S. Saini|Garg Manish|Goel Nitin|V. K. Gupta;;;;;;;http://dx.doi.org/10.1504/IJCAET.2012.048840;;IJCAET;journals/ijcaet/NitinMSG12;2012-11-27;;;5;432-444;;;;;;;Finite element analysis of creep in a functionally graded rotating disc.;;;db/journals/ijcaet/ijcaet4.html#NitinMSG12;4;2012
2856149;Xun W. Xu|Yaoyao Fiona Zhao;;;;;;;http://dx.doi.org/10.1504/IJCAET.2012.044580;;IJCAET;journals/ijcaet/ZhaoX12;2012-05-31;;;1;1-31;;;;;;;Integration of machining and inspection.;;;db/journals/ijcaet/ijcaet4.html#ZhaoX12;4;2012
2856150;K. Prakasan|R. PriyaVaijayanthi|R. Senthil Kumar;;;;;;;http://dx.doi.org/10.1504/IJCAET.2009.026978;;IJCAET;journals/ijcaet/KumarPP09;2012-05-29;;;3;338-353;;;;;;;Towards converting a production database schema to XML schema.;;;db/journals/ijcaet/ijcaet1.html#KumarPP09;1;2009
2856151;Bo Hu|Jianping Yu|Jiayin Xu|Yi Lu;;;;;;;http://dx.doi.org/10.1504/IJCAET.2009.026974;;IJCAET;journals/ijcaet/LuXHY09;2012-05-29;;;3;265-287;;;;;;;Using CAD variation geometry solving constrained wrench of some limited-dof parallel manipulators.;;;db/journals/ijcaet/ijcaet1.html#LuXHY09;1;2009
2856152;K. Muthugurupackiam|P. Pitchipoo|P. Venkumar|S. Rajakarunakaran;;;;;;;http://dx.doi.org/10.1504/IJCAET.2011.042359;;IJCAET;journals/ijcaet/PitchipooVRM11;2012-05-31;;;5/6;504-516;;;;;;;Modelling and development of decision model for supplier selection in process industry.;;;db/journals/ijcaet/ijcaet3.html#PitchipooVRM11;3;2011
2856153;S. Mekid|Z. Zhu;;;;;;;http://dx.doi.org/10.1504/IJCAET.2009.022789;;IJCAET;journals/ijcaet/MekidZ09;2012-05-29;;;2;239-249;;;;;;;Energy harvesting for wireless sensor nodes: investigation of architectures and sources of energy.;;;db/journals/ijcaet/ijcaet1.html#MekidZ09;1;2009
2856154;Peng Hu|Zude Zhou;;;;;;;http://dx.doi.org/10.1504/IJCAET.2011.040049;;IJCAET;journals/ijcaet/HuZ11;2012-05-31;;;3/4;292-308;;;;;;;Towards an Auto-ID-enabled framework for manufacturing information sharing systems.;;;db/journals/ijcaet/ijcaet3.html#HuZ11;3;2011
2856155;Da-Fan Chen|Kai-En Chang|Ming-Je Luo|Shih-Ming Wang;;;;;;;http://dx.doi.org/10.1504/IJCAET.2011.042357;;IJCAET;journals/ijcaet/WangLCC11;2012-05-31;;;5/6;480-491;;;;;;;A hybrid fault diagnosis and monitoring system for precision rotor systems.;;;db/journals/ijcaet/ijcaet3.html#WangLCC11;3;2011
2856156;Rengan S. Rajesh|S. Selvakani Kandeeban;;;;;;;http://dx.doi.org/10.1504/IJCAET.2008.021257;;IJCAET;journals/ijcaet/KandeebanR08;2012-05-29;;;1;81-93;;;;;;;Improving ID performance using GA and NN.;;;db/journals/ijcaet/ijcaet1.html#KandeebanR08;1;2008
2856157;Jorma Mattila|Martti Juhola|Virpi Hotti;;;;;;;http://dx.doi.org/10.1504/IJCAET.2011.038824;;IJCAET;journals/ijcaet/MattilaHJ11;2012-05-31;;;2;155-174;;;;;;;Product mix and its optimisation in a paper mill according to the profitability computation of process measurements.;;;db/journals/ijcaet/ijcaet3.html#MattilaHJ11;3;2011
2856158;Adnan Hassan;;;;;;;http://dx.doi.org/10.1504/IJCAET.2011.040050;;IJCAET;journals/ijcaet/Hassan11;2012-05-31;;;3/4;309-321;;;;;;;An improved scheme for online recognition of control chart patterns.;;;db/journals/ijcaet/ijcaet3.html#Hassan11;3;2011
2856159;F. L. Tan|K. K. Leow|S. C. Fok;;;;;;;http://dx.doi.org/10.1504/IJCAET.2012.048839;;IJCAET;journals/ijcaet/FokTL12;2012-11-27;;;5;420-431;;;;;;;CAD modelling of solidification phase front around a vertical finned tube.;;;db/journals/ijcaet/ijcaet4.html#FokTL12;4;2012
2856160;Gerhard Ebenhofer|Martijn N. Rooker|Thomas Strasser;;;;;;;http://dx.doi.org/10.1504/IJCAET.2011.040052;;IJCAET;journals/ijcaet/StrasserRE11;2012-05-31;;;3/4;344-359;;;;;;;An IEC 61499 distributed control concept for reconfigurable robots.;;;db/journals/ijcaet/ijcaet3.html#StrasserRE11;3;2011
2856161;Shishir Bhat;;;;;;;http://dx.doi.org/10.1504/IJCAET.2008.021255;;IJCAET;journals/ijcaet/Bhat08;2012-05-29;;;1;45-64;;;;;;;Heuristic algorithm to optimise the manufacturing system design to get maximum profit. PAPER WITHDRAWN.;;;db/journals/ijcaet/ijcaet1.html#Bhat08;1;2008
2856162;Richard H. Weston|Tariq Masood;;;;;;;http://dx.doi.org/10.1504/IJCAET.2011.040054;;IJCAET;journals/ijcaet/MasoodW11;2013-04-16;;;3/4;372-398;;;;;;;An integrated modelling approach in support of next generation reconfigurable manufacturing systems.;;;db/journals/ijcaet/ijcaet3.html#MasoodW11;3;2011
2856163;G. Dhanushkodi|R. Arularasan|R. Velraj;;;;;;;http://dx.doi.org/10.1504/IJCAET.2011.042361;;IJCAET;journals/ijcaet/ArularasanDV11;2012-05-31;;;5/6;526-537;;;;;;;CFD simulation studies and experimental validation on a parallel plate heat sink.;;;db/journals/ijcaet/ijcaet3.html#ArularasanDV11;3;2011
2856164;Akira Imanishi|Mayumi Oyama-Higa;;;;;;;http://dx.doi.org/10.1504/IJCAET.2009.028549;;IJCAET;journals/ijcaet/ImanishiO09;2012-05-29;;;4;404-419;;;;;;;The application of non-linear methods to the analysis of finger plethysmograms for ergonomics.;;;db/journals/ijcaet/ijcaet1.html#ImanishiO09;1;2009
2856165;Denis Laurendeau|François Bernier|François Rioux;;;;;;;http://dx.doi.org/10.1504/IJCAET.2010.029596;;IJCAET;journals/ijcaet/RiouxLB10;2012-05-31;;;1;52-65;;;;;;;Visualising and interacting with multiple simulations using the multichronic tree.;;;db/journals/ijcaet/ijcaet2.html#RiouxLB10;2;2010
2856166;António Abelha|José Machado|José Neves|João Neves|Paulo Novais;;;;;;;http://dx.doi.org/10.1504/IJCAET.2010.035396;;IJCAET;journals/ijcaet/MachadoANNN10;2012-05-31;;;4;436-449;;;;;;;Quality of service in healthcare units.;;;db/journals/ijcaet/ijcaet2.html#MachadoANNN10;2;2010
2856167;Bo Hu|Yi Lu;;;;;;;http://dx.doi.org/10.1504/IJCAET.2008.021256;;IJCAET;journals/ijcaet/LuH08;2012-05-29;;;1;65-80;;;;;;;Kinematics/statics analysis of some limited-dof parallel manipulators by a block diagram modelling system.;;;db/journals/ijcaet/ijcaet1.html#LuH08;1;2008
2856168;Vashti Galpin;;;;;;;http://dx.doi.org/10.1504/IJCAET.2010.035389;;IJCAET;journals/ijcaet/Galpin10;2012-05-31;;;4;324-339;;;;;;;Continuous approximation of PEPA models and Petri nets.;;;db/journals/ijcaet/ijcaet2.html#Galpin10;2;2010
2856169;Mehdi Hajianmaleki;;;;;;;http://dx.doi.org/10.1504/IJCAET.2012.048837;;IJCAET;journals/ijcaet/Hajianmaleki12;2012-11-27;;;5;393-402;;;;;;;Application of residual strength models to finite element analysis in fatigue life estimation of a composite wing spar.;;;db/journals/ijcaet/ijcaet4.html#Hajianmaleki12;4;2012
2856170;R. K. Das|R. K. Padhy|S. Sahu;;;;;;;http://dx.doi.org/10.1504/IJCAET.2011.037866;;IJCAET;journals/ijcaet/PadhySD11;2012-05-31;;;1;19-33;;;;;;;Implementation of Six Sigma in Indian industries - a Delphi study.;;;db/journals/ijcaet/ijcaet3.html#PadhySD11;3;2011
2856171;Cathal Heavey|Paul Ryan|Peter J. Byrne;;;;;;;http://dx.doi.org/10.1504/IJCAET.2010.035391;;IJCAET;journals/ijcaet/ByrneRH10;2012-05-31;;;4;356-370;;;;;;;Simulation, a support for sustainable logistical decision-making in complex supply chains.;;;db/journals/ijcaet/ijcaet2.html#ByrneRH10;2;2010
2856172;D. E. Mazarakos|D. E. Vlachos|V. Kostopoulos;;;;;;;http://dx.doi.org/10.1504/IJCAET.2013.050629;;IJCAET;journals/ijcaet/MazarakosVK13;2013-01-18;;;1;76-98;;;;;;;Structural analysis of a steel double hull underwater tank, intended for oil recovery from shipwrecks.;;;db/journals/ijcaet/ijcaet5.html#MazarakosVK13;5;2013
2856173;Beshoy Morkos|Joshua D. Summers;;;;;;;http://dx.doi.org/10.1504/IJCAET.2013.052934;;IJCAET;journals/ijcaet/MorkosS13;2013-04-22;;;2/3;139-158;;;;;;;A study of designer familiarity with product and user during requirement elicitation.;;;db/journals/ijcaet/ijcaet5.html#MorkosS13;5;2013
2856174;Jin-Gyun Chung|Kyung-Ju Cho|Xinming Huang|Yi-Nan Xu|Yong-Eun Kim;;;;;;;http://dx.doi.org/10.1504/IJCAET.2010.029600;;IJCAET;journals/ijcaet/XuKCCH10;2012-05-31;;;1;112-122;;;;;;;Implementation of FlexRay CC and BG protocols with application to a robot system.;;;db/journals/ijcaet/ijcaet2.html#XuKCCH10;2;2010
2856175;A. A. Ameer|B. Mason|M. Ebrahimi|R. Whalley|S. El-Shalabi;;;;;;;http://dx.doi.org/10.1504/IJCAET.2009.022785;;IJCAET;journals/ijcaet/El-ShalabiEMWA09;2012-05-29;;;2;173-184;;;;;;;Hydraulic axis actuation control for precision motion.;;;db/journals/ijcaet/ijcaet1.html#El-ShalabiEMWA09;1;2009
2856176;B. Jamali;;;;;;;http://dx.doi.org/10.1504/IJCAET.2010.030550;;IJCAET;journals/ijcaet/Jamali10;2012-05-31;;;2/3;294-309;;;;;;;A GNU radio based SDR RFID platform.;;;db/journals/ijcaet/ijcaet2.html#Jamali10;2;2010
2856177;N. Venkata Reddy|Shrikant Bansal;;;;;;;http://dx.doi.org/10.1504/IJCAET.2011.038821;;IJCAET;journals/ijcaet/BansalR11;2012-05-31;;;2;107-125;;;;;;;Automatic setup planning system using a neutral part data exchange format.;;;db/journals/ijcaet/ijcaet3.html#BansalR11;3;2011
2856178;A. Alavudeen|A. Athijayamani|J. T. Winowlin Jappes|M. Thiruchitrambalam;;;;;;;http://dx.doi.org/10.1504/IJCAET.2011.042362;;IJCAET;journals/ijcaet/AthijayamaniTJA11;2012-05-31;;;5/6;538-546;;;;;;;Effects of fibre content on the mechanical properties of short roselle/sisal fibre polyester hybrid composite.;;;db/journals/ijcaet/ijcaet3.html#AthijayamaniTJA11;3;2011
2856179;Sabine Roth-Koch;;;;;;;http://dx.doi.org/10.1504/IJCAET.2013.052933;;IJCAET;journals/ijcaet/Roth-Koch13;2013-04-22;;;2/3;177-187;;;;;;;Creative spatial interpretation of freehand sketches.;;;db/journals/ijcaet/ijcaet5.html#Roth-Koch13;5;2013
2856180;R. Saravanan|V. Janakiraman;;;;;;;http://dx.doi.org/10.1504/IJCAET.2011.042360;;IJCAET;journals/ijcaet/JanakiramanS11;2012-05-31;;;5/6;517-525;;;;;;;Implementation of genetic optimisation technique in small-scale industries.;;;db/journals/ijcaet/ijcaet3.html#JanakiramanS11;3;2011
2856181;Hassan R. Barada|Mahmoud Al-Qutayri|Tariq Al-Hawi;;;;;;;http://dx.doi.org/10.1504/IJCAET.2011.038826;;IJCAET;journals/ijcaet/Al-QutayriBA11;2012-05-31;;;2;204-225;;;;;;;A framework for steganalysis of images in internet traffic.;;;db/journals/ijcaet/ijcaet3.html#Al-QutayriBA11;3;2011
2856182;R. B. Mishra|Vimal Mishra;;;;;;;http://dx.doi.org/10.1504/IJCAET.2012.047815;;IJCAET;journals/ijcaet/MishraM12;2012-11-27;;;4;340-359;;;;;;;Performance evaluation of English to Sanskrit machine translation system.;;;db/journals/ijcaet/ijcaet4.html#MishraM12;4;2012
2856183;Alicia Nicki Washington|Joseph Gill|Juil Martin|Legand L. Burge III|Marcus Alfred;;;;;;;http://dx.doi.org/10.1504/IJCAET.2010.029592;;IJCAET;journals/ijcaet/MartinBGWA10;2012-05-31;;;1;3-14;;;;;;;Modelling the spread of mobile malware.;;;db/journals/ijcaet/ijcaet2.html#MartinBGWA10;2;2010
2856184;Farhad Ameri|Joshua D. Summers|Madhusudan Kayyar;;;;;;;http://dx.doi.org/10.1504/IJCAET.2012.047814;;IJCAET;journals/ijcaet/KayyarAS12;2012-11-27;;;4;321-339;;;;;;;A case study of the development of a design enabler tool to support frame analysis for Wright Metal Products, a US SME.;;;db/journals/ijcaet/ijcaet4.html#KayyarAS12;4;2012
2856185;Andrew J. Thomas|Duc Truong Pham|Oludare Adebayo-Williams;;;;;;;http://dx.doi.org/10.1504/IJCAET.2011.040056;;IJCAET;journals/ijcaet/PhamAT11;2012-05-31;;;3/4;415-431;;;;;;;A framework for fit manufacturing.;;;db/journals/ijcaet/ijcaet3.html#PhamAT11;3;2011
2856186;Ana Kostov|Dragana Zivkovic;;;;;;;http://dx.doi.org/10.1504/IJCAET.2011.037867;;IJCAET;journals/ijcaet/KostovZ11;2012-05-31;;;1;34-52;;;;;;;Thermodynamic properties calculation in Ni-Cr-Co liquid alloys using FactSage.;;;db/journals/ijcaet/ijcaet3.html#KostovZ11;3;2011
2856187;Adel Baganne|Kholdoun Torki|Rached Tourki|Rafik Ben-Tekaya;;;;;;;http://dx.doi.org/10.1504/IJCAET.2010.030549;;IJCAET;journals/ijcaet/Ben-TekayaBTT10;2012-05-31;;;2/3;274-293;;;;;;;Performance evaluation of MIC@R NoC for real-time applications.;;;db/journals/ijcaet/ijcaet2.html#Ben-TekayaBTT10;2;2010
2856188;Dimitar Trifonov|Yuli Toshev;;;;;;;http://dx.doi.org/10.1504/IJCAET.2011.040045;;IJCAET;journals/ijcaet/TrifonovT11;2012-05-31;;;3/4;240-255;;;;;;;Improvement of the sprue system design of an injection mould for optical disc substrates using computer aided design and simulation.;;;db/journals/ijcaet/ijcaet3.html#TrifonovT11;3;2011
2856189;Arnold Van den Dool|Gabriël Lodewijks|Jaap A. Ottjes|Sebastiaan Roben;;;;;;;http://dx.doi.org/10.1504/IJCAET.2010.035388;;IJCAET;journals/ijcaet/RobenOLD10;2012-05-31;;;4;311-323;;;;;;;A design approach for asset supply logistics.;;;db/journals/ijcaet/ijcaet2.html#RobenOLD10;2;2010
2856190;Chunzheng Duan|Minjie Wang|Tao Tou;;;;;;;http://dx.doi.org/10.1504/IJCAET.2011.042355;;IJCAET;journals/ijcaet/DuanTW11;2012-05-31;;;5/6;458-465;;;;;;;Experimental research of chip formation mechanism during high speed machining of hardened steel.;;;db/journals/ijcaet/ijcaet3.html#DuanTW11;3;2011
2856191;Adel Baganne|Meriam Kallel|Rached Tourki|Younes Lahbib;;;;;;;http://dx.doi.org/10.1504/IJCAET.2012.046635;;IJCAET;journals/ijcaet/KallelLBT12;2012-05-31;;;3;229-249;;;;;;;Monitoring transaction level SystemC models using a generic and aspect-oriented framework.;;;db/journals/ijcaet/ijcaet4.html#KallelLBT12;4;2012
2856192;Amit Kumar Singh|Arnab Jyothi Ghosh|P. K. Pakala|P. V. M. Rao|Regalla Srinivasa Prakash;;;;;;;http://dx.doi.org/10.1504/IJCAET.2008.021259;;IJCAET;journals/ijcaet/PrakashGSPR08;2012-05-29;;;1;105-124;;;;;;;Numerical slicing and optimum hatching of parametric B-Rep solids in layered manufacturing.;;;db/journals/ijcaet/ijcaet1.html#PrakashGSPR08;1;2008
2856193;Jiuxing Zhang|Xiaoyan Song|Xuemei Liu;;;;;;;http://dx.doi.org/10.1504/IJCAET.2008.021258;;IJCAET;journals/ijcaet/LiuSZ08;2012-05-29;;;1;94-104;;;;;;;Current distribution and neck growth during spark plasma sintering conductive powder.;;;db/journals/ijcaet/ijcaet1.html#LiuSZ08;1;2008
